town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Lisbon,Grafton,0.235772358,0.43902439,0.353174603,0.206349206,0.396825397,-1,44.21,71.91,1654,36.7,16836,37993,-1,18.91799154,76.8,11.5,891,31
Litchfield,Hillsborough,0.227032735,0.483632524,0.431774504,0.188981422,0.32222934,1,42.84,71.48,8582,33.2,25203,73302,-1,563.4931057,92.9,33.3,4997,161
Littleton,Grafton,0.344877345,0.392496392,0.315889629,0.187440533,0.434823977,1,44.31,71.77,6162,39.2,18803,35887,1,99.16317992,83.1,22.5,3470,108
Londonderry,Rockingham,0.250245982,0.484421122,0.411171777,0.163796724,0.378622428,1,42.87,71.37,24879,35,26491,70501,1,608.5861057,93.4,35.9,14562,488
Loudon,Merrimac,0.240181269,0.410876133,0.416921509,0.19266055,0.333333333,1,43.29,71.47,5117,36.9,24673,55185,-1,103.0821918,90.9,22.3,2942,90
Lyman,Grafton,0.507462687,0.358208955,0.303571429,0.205357143,0.419642857,-1,44.27,71.94,548,42.4,22332,46607,-1,19.09407666,84.5,24.3,325,10
Lyme,Grafton,0.591474245,0.246891652,0.21875,0.183238636,0.541193182,-1,43.81,72.16,1701,42.6,35887,57250,-1,28.87455441,91.7,56,1025,26
Lyndeborough,Hillsborough,0.364217252,0.322683706,0.403100775,0.175710594,0.320413437,-1,42.91,71.77,1769,37.9,27169,59688,-1,64.72740578,90.5,34.1,1078,36
Madbury,Strafford,0.274314214,0.36159601,0.379816514,0.137614679,0.383486239,-1,43.17,70.92,1693,36.3,26524,57981,-1,139.9173554,92.3,50.5,964,28
Madison,Carroll,0.31185567,0.43556701,0.366197183,0.14084507,0.392801252,1,43.9,71.15,2284,39.6,20608,43523,-1,48.54410202,91.5,26.4,1395,41
Manchester,Hillsborough,0.222126437,0.457974138,0.462332899,0.160513489,0.310699291,1,43,71.46,109497,34.9,21244,40774,-1,3031.478405,80.7,22.3,61846,2389
Marlborough,Cheshire,0.342519685,0.303149606,0.288786482,0.141321045,0.468509985,-1,42.9,72.21,2094,40,19967,44904,-1,74.01908802,86.5,26,1281,37
Marlow,Cheshire,0.440251572,0.283018868,0.391089109,0.128712871,0.321782178,-1,43.16,72.2,796,39.6,18810,45000,-1,32.41042345,86.4,21.7,469,16
Mason,Hillsborough,0.364,0.344,0.377622378,0.20979021,0.318181818,-1,42.74,71.77,1336,39.9,28503,60433,-1,25.47673532,89.5,30.9,793,31
Meredith,Belknap,0.229245283,0.391509434,0.358240223,0.171787709,0.411312849,1,43.66,71.5,6667,42.5,24867,42758,-1,2116.507937,89.9,30.3,3470,105
Merrimack,Hillsborough,0.211686587,0.471181939,0.427704194,0.156916851,0.359455482,1,42.87,71.49,26613,36,27748,68817,-1,797.0350404,92.9,35,16644,494
Middleton,Strafford,0.18974359,0.456410256,0.485714286,0.225714286,0.222857143,-1,43.48,71.08,1760,36.6,18415,43942,-1,95.13513514,77.3,8,955,32
Milan,Coos,0.224390244,0.487804878,0.406153846,0.273846154,0.261538462,1,44.57,71.19,1389,40.9,19818,40966,-1,21.56832298,80.5,14.1,788,33
Milford,Hillsborough,0.254871795,0.458461538,0.385457113,0.175079421,0.371337804,1,42.83,71.64,15054,35.1,24425,52343,-1,600.4786598,90.5,26.7,9039,264
